,NB-Kaiser,NB-Remez,HB-IIR+WB-Kaiser,HB-IIR+WB-Remez,LIDL,CIDL,naive,base
140923_burning_sunn_LSTM-40,-49.439031141026824,-38.91389098497472,-50.77928903337442,-40.41989833759979,-62.42731293871211,-61.19846853162108,-49.02440081316852,-52.22449566221053
BossDs-1(Dist_12oclock),-28.602637241419746,-20.449639018119743,-28.96060118875406,-20.986204220017143,-47.63642611128323,-19.11254488410543,-31.3044734579096,-33.709410932460905
Cornish G2 (S10 T6 V10),-47.55872428630226,-36.43651325607337,-50.540898040446315,-37.58394920945093,-70.61486574775874,-70.14270514536447,-49.278817461584005,-51.29010489651117
ODN-CP-AP-1D-S4-G6-MSL-HVY,-34.845502296570594,-26.157612893789345,-36.70460949481084,-26.643053945704402,-58.158436777733954,-57.132146927784376,-37.60939501901464,-38.03401478704837
ODN-DR-AP-1D-CH3-RED-PD1-HVY,-34.86779138238742,-27.061956903572597,-36.11031485181297,-27.669726194686064,-58.62013076318503,-58.445753146668885,-35.90249080580191,-36.86242577318638
ODN-Greenie-AP-2B BLUE G5 B+F-HVY,-57.09663955007456,-41.612038221330295,-58.38882178265794,-44.363213593750956,47.87095664496922,52.24464850874171,-56.93302739861999,-59.11035699649789
ODN-HERBIE-AP-2B-L-KT77-HVY,-35.12500669783566,-29.925662798832686,-37.26578605806384,-30.101456167624942,-53.69432286188236,-54.42416434162845,-35.2121824773775,-37.46437433632962
ODN-PB-AP-2E-TUBE PILOT DRIVE 2-HVY,-29.502625762378806,-21.822033373993783,-33.26752528640934,-22.57589115164966,-58.347678905839636,-58.45585225971968,-32.37159674343234,-33.39418100764658
ProCoRatPedalGain7oclockFilter12oclock+Peavey212LeadChannelBoost(LSTM20),-36.952146029790384,-25.35110792736134,-42.576415837299194,-26.331789516458024,-69.24186514575754,-68.84168194747924,-42.577676179215764,-44.023643808179536
RevvG3_Pedal_Switch_Red_Gain_12_Oclock_LSTM20,-37.072020400035974,-24.90716861026664,-38.75214682328874,-25.15754673728623,-69.80111954176252,-69.04777304628222,-38.43907817556513,-40.051227561080445
SYN_PLEXI_6L6_AP-1B_BOOST_HVY,-33.77146692351136,-27.705142225486963,-34.84701026876059,-28.331022602059296,-51.07100098359021,-49.81068044789732,-33.37796504623713,-34.916671920927485
Tech21-VTBass-C060-G060_high_CharlyR,-36.87782065108966,-25.680149541797103,-41.5040361704395,-26.371770255759294,-70.66980539165603,-70.40852326449316,-42.11760949619267,-44.251394988027926
bandmaster clean,-61.18638294147542,-41.84441491472245,-63.31186942197613,-43.94422064849022,-118.04490614824067,-71.50582061815152,-81.41753133961976,-81.55600706011268
bandmaster high gain,-38.76813688963926,-28.887354161386384,-39.154668078510724,-30.95729200772472,-58.92944622216681,-54.989758285413494,-39.02943341654541,-39.59498989129641
bandmaster med gain,-45.20443788052238,-32.240586941360014,-49.874372912895666,-33.58607050502798,-80.60086758611993,-80.84907688906985,-51.0865601631775,-52.50389061071645
peavey_6505plus_lead_desktop_aidadsp,-33.23942648985281,-27.556606205554388,-36.55255877990139,-28.068639375554323,-49.61269579159032,-48.79851255087099,-34.5487804968245,-36.95856863905166
tw40_blues_deluxe_deerinkstudios,-60.29784554516943,-42.29830843256836,-67.89142126214252,-43.36992332002513,-117.73401305236608,-117.93978482071692,-73.05419170120379,-72.97710447369509
tw40_blues_solo_deerinkstudios,-56.401494003792756,-40.72277599153738,-64.4148385474775,-41.788010207214455,-96.79058836949888,-97.27216614564153,-64.43734919428434,-67.00037498815668
tw40_british_lead_deerinkstudios,-46.6510792292474,-39.89623926883148,-49.62140378543747,-40.15145789637192,-62.77359793339254,-61.689727530882735,-47.9468144475286,-50.46241400442224
tw40_british_rhythm_deerinkstudios,-55.43725658699677,-40.02637489568094,-62.0206581881397,-41.184090244846814,-100.1661756226963,-100.70048852123415,-62.71857472883025,-64.41481686278964
tw40_california_clean_deerinkstudios,-55.627980950835585,-39.687866848446,-64.99846651035509,-40.30475599799507,-110.05249422228145,-111.06833406041423,-69.51606293932947,-69.99798246811632
tw40_california_crunch_deerinkstudios,-58.4163716673935,-40.810844801670875,-64.98515108876873,-42.39484939055983,-103.69418556562441,-104.336724127029,-66.33684044172597,-67.70843988084307
